id,speaker,context,text,tag,source_ref
arrival_captain_verdict,the captain of the prisoner transport,"dawn on the dockside below the Great Lighthouse, City of the Moon; the prisoners are handed over to the city's guard and the verdict is read","Hear the verdict, and hold it. You were taken in a war far from here; no ransom comes for you and no king of yours claims you. The city has bought your days for its own work. Serve and be fed; run and be taken again, or die on the flats. Such is the law of the Law Giver's dynasty, and it holds in this city yet. Marked fit for labour.",INVENTED,"INVENTED glue serving story.csv:opening; notes L105 (a prisoner taken from his homeland into a strange land ruled by two ancient peoples); wb §4.1"
arrival_guard_bark,a dock-gate guard,"the dock gate of the City of the Moon, mid-morning of the first day; the prisoner column is marched up from the quay","Eyes down, all of you. None of you speak, and none speak to you. Water at the midday tally, bread at dusk, and not a mouthful before. Move.",INVENTED,"INVENTED glue serving story.csv:opening; wb §4.1; notes L105"
arrival_captain_parting,the captain of the prisoner transport,"the dockside, as the transport is dismissed and the prisoners are led up into the city","Look at it well, prisoner. Two ancient peoples raised this land and one old law holds it, and the law is tired. The rain has forgotten the river, the east is stirring in its mountains, and the south mutters in a dead tongue. You are not outside the breaking of the world any more. None of us are.",INVENTED,"INVENTED glue serving story.csv:opening; wb §1;§4.1; notes L104;L105"
texture_water_carrier_tally,a water-carrier,"the river steps at first light, while the day's water is drawn and counted","Stand back from the jars. Forty years I have drawn at this step and no man asked me to count; now the temple counts, and the tally does not bend for weeping. The sky has forgotten the way down to the river. When it remembers, the counting stops. Until then the whole city drinks by tally.",INVENTED,"INVENTED glue serving story.csv:act_i; wb §4.1; notes L104 (the great drought that engulfs the lands)"
texture_market_seller_barley,a barley seller,"the grain stalls of the morning market, with the drought deepening in the land","Barley is barley, stranger — but not this year. A measure that cost two grains of silver in my father's day fetched four by sowing and six by harvest, and I no longer laugh at what men offer. Weigh your silver carefully, and count your years. The price is not done climbing.",INVENTED,"INVENTED glue serving story.csv:act_i; wb §4.1; notes L104; D-011 (silver weighed in grains; the grain price model)"
texture_night_watchman_east,a night watchman,"the wall walk of the City of the Moon, past midnight, the landward side","That glow on the horizon is not the moon. A village burned out there three nights past, and a granary two nights before that. The watch keeps its lamps, the gate counts heads at dawn, and from the capital comes nothing but seals and silence. The east is coming, friend. It was always going to come.",INVENTED,"INVENTED glue serving story.csv:act_i (the eastern raids begin); wb §4.3; notes L15;L21"
texture_ration_clerk_bread_beer,a temple ration-clerk,"the stores of the temple of sun and moon at the noon issue","Your wage is bread and beer, broken and poured where you stand, and the tally is kept against your name. Silver is for merchants, dowries and graves — weighed in grains, and buying less every sowing. The granary does not care whose son you were. The drought cares even less.",INVENTED,"INVENTED glue serving story.csv:act_i; wb §4.1; notes L104"
texture_caravan_master_east_road,a caravan master,"the north gate of the City of the Moon at dawn, where the caravans are counted out and in","You want the eastern road. The eastern road is a story now. I lost two drovers and twelve onagers past the river bend, and what came down from the hills did not want my goods — it wanted the road. Cattle men, they were, all their lives. Now they are something else, and the mountains are emptying onto the plain.",INVENTED,"INVENTED glue serving story.csv:act_i (the eastern raids and migrations begin); wb §4.3; notes L20;L21"
texture_debtor_priestess_ledger,a debtor priestess,"the outer court of the temple of sun and moon, morning, sweeping before the offering tables","Sixty measures of barley I owe the temple, as my mother owed twenty; the offerings have thinned since the river fell, and the god's table keeps its own ledger. You will see grandeur here. Look under it. The whole city is borrowed, and the lender is the sky.",INVENTED,"INVENTED glue serving story.csv:act_i; wb §4.1; notes L104"
pull_stranger_no_name_dusk,a robed stranger,"dusk, in the long shadow of the Great Lighthouse by the harbour; he speaks once and is gone before the prisoner turns","I have no name to give. Names are for men who finish things. They will tell you the lady of the skies is the morning star — love and war in one body — and they will not tell you what she asks in return. Keep your eyes open and your debts small. The worthy are not chosen. They are noticed.",INVENTED,"INVENTED glue serving story.csv:act_i (first contact among the many groups), foreshadowing story.csv:act_ii (the mysterious cult); wb §2;§4.4; notes L5;L26; D-004 (the demonic claim shown unconfirmed)"
